node,in-degree,out-degree,edge-count
994,68.0,30.0,98.0
9800,15.0,15.0,30.0
7073,176.0,99.0,275.0
2262,166.0,54.0,220.0
1752,122.0,12.0,134.0
9207,288.0,253.0,541.0
6840,1425.0,3079.0,4504.0
3502,8.0,6.0,14.0
5312,192.0,69.0,261.0
1883,136.0,16.0,152.0
1560,168.0,53.0,221.0
7517,122.0,9.0,131.0
12240,72.0,85.0,157.0
7836,574.0,1357.0,1931.0
10189,331.0,274.0,605.0
6537,304.0,198.0,502.0
12199,91.0,116.0,207.0
9579,122.0,134.0,256.0
10657,45.0,35.0,80.0
2954,226.0,197.0,423.0
4798,285.0,616.0,901.0
1362,499.0,1438.0,1937.0
1008,73.0,23.0,96.0
5943,447.0,126.0,573.0
103,90.0,21.0,111.0
6567,71.0,17.0,88.0
7271,442.0,454.0,896.0
721,668.0,733.0,1401.0
3200,213.0,130.0,343.0
4710,61.0,15.0,76.0
1527,49.0,24.0,73.0
449,62.0,65.0,127.0
700,24.0,5.0,29.0
1114,286.0,24.0,310.0
6626,391.0,480.0,871.0
5630,160.0,31.0,191.0
3576,454.0,336.0,790.0
9624,371.0,500.0,871.0
2167,129.0,11.0,140.0
2403,149.0,175.0,324.0
3401,93.0,35.0,128.0
4110,197.0,205.0,402.0
10006,5.0,4.0,9.0
8832,36.0,36.0,72.0
6054,253.0,477.0,730.0
1889,8.0,3.0,11.0
6305,170.0,102.0,272.0
7176,300.0,164.0,464.0
9485,102.0,48.0,150.0
9322,39.0,41.0,80.0
12504,2.0,4.0,6.0
5841,982.0,695.0,1677.0
4490,120.0,70.0,190.0
2826,233.0,136.0,369.0
2208,535.0,214.0,749.0
1731,93.0,45.0,138.0
3906,367.0,54.0,421.0
3238,3.0,3.0,6.0
6088,657.0,601.0,1258.0
2094,923.0,1594.0,2517.0
11074,55.0,61.0,116.0
7948,59.0,57.0,116.0
8598,188.0,231.0,419.0
8612,196.0,99.0,295.0
972,97.0,80.0,177.0
763,226.0,325.0,551.0
5089,58.0,73.0,131.0
10411,16.0,21.0,37.0
5713,31.0,15.0,46.0
11941,162.0,106.0,268.0
11636,16.0,23.0,39.0
6682,208.0,88.0,296.0
1283,65.0,157.0,222.0
1755,112.0,43.0,155.0
3660,11.0,22.0,33.0
11562,11.0,14.0,25.0
4981,14.0,11.0,25.0
1993,231.0,127.0,358.0
10445,6.0,14.0,20.0
3921,129.0,26.0,155.0
2062,140.0,32.0,172.0
585,9.0,15.0,24.0
5916,5.0,1.0,6.0
4461,5.0,3.0,8.0
6771,12.0,5.0,17.0
3826,370.0,63.0,433.0
6065,336.0,130.0,466.0
186,562.0,1277.0,1839.0
889,78.0,167.0,245.0
9053,249.0,242.0,491.0
479,424.0,2179.0,2603.0
1192,91.0,54.0,145.0
183,2.0,1.0,3.0
1145,64.0,26.0,90.0
4003,824.0,959.0,1783.0
384,62.0,9.0,71.0
7853,45.0,26.0,71.0
9481,739.0,656.0,1395.0
8574,243.0,287.0,530.0
3556,475.0,150.0,625.0
4001,321.0,791.0,1112.0
6023,105.0,45.0,150.0
2169,177.0,92.0,269.0
1860,14.0,5.0,19.0
7969,138.0,29.0,167.0
1458,54.0,0.0,54.0
6628,173.0,25.0,198.0
2334,124.0,12.0,136.0
2229,114.0,0.0,114.0
2514,291.0,184.0,475.0
3088,125.0,18.0,143.0
3080,118.0,8.0,126.0
9300,78.0,39.0,117.0
8569,45.0,9.0,54.0
7214,115.0,1.0,116.0
1801,216.0,105.0,321.0
1856,151.0,29.0,180.0
1775,36.0,1.0,37.0
963,23.0,0.0,23.0
4412,101.0,68.0,169.0
10122,71.0,34.0,105.0
1445,301.0,341.0,642.0
9569,203.0,275.0,478.0
9444,59.0,55.0,114.0
3413,27.0,21.0,48.0
3856,109.0,80.0,189.0
2557,35.0,18.0,53.0
3943,70.0,60.0,130.0
2034,57.0,73.0,130.0
6336,97.0,46.0,143.0
3988,68.0,61.0,129.0
7962,3.0,5.0,8.0
8083,73.0,52.0,125.0
3008,1080.0,985.0,2065.0
8156,312.0,94.0,406.0
7563,1.0,1.0,2.0
12437,8.0,11.0,19.0
2622,12.0,18.0,30.0
616,145.0,102.0,247.0
3854,95.0,47.0,142.0
2620,707.0,2762.0,3469.0
11530,50.0,72.0,122.0
9719,139.0,82.0,221.0
11912,22.0,31.0,53.0
398,312.0,1383.0,1695.0
4715,37.0,34.0,71.0
12083,3.0,4.0,7.0
10775,4.0,2.0,6.0
5662,12.0,6.0,18.0
10925,12.0,15.0,27.0
10088,16.0,18.0,34.0
9447,3.0,2.0,5.0
7370,70.0,34.0,104.0
11461,32.0,37.0,69.0
11325,10.0,8.0,18.0
4448,72.0,15.0,87.0
12342,18.0,21.0,39.0
12099,7.0,13.0,20.0
2674,28.0,39.0,67.0
3412,81.0,6.0,87.0
10844,61.0,32.0,93.0
6104,3.0,1.0,4.0
3377,15.0,17.0,32.0
