node,message_in,message_out,trade_in,trade_out
2617,10,5,115,116
70,0,0,3,4
12631,0,1,0,0
10556,1,0,0,0
12547,28,22,3,3
10800,32,39,64,64
7197,4,5,7,8
8755,29,14,13,13
11778,5,5,1,1
10257,0,0,1,0
11062,0,0,2,2
4800,1,0,0,0
12312,3,2,0,0
402,1,0,0,0
3660,11,22,14,13
9060,0,0,1,1
5899,1,2,0,1
3086,60,75,98,98
12519,5,5,0,0
2425,5,7,0,0
8576,41,41,60,67
7084,1,0,0,0
12419,1,0,9,0
1092,0,0,1,0
12321,0,0,1,0
10043,0,0,0,2
11984,0,1,0,0
10798,1,4,12,13
11391,2,0,0,0
11822,0,1,5,0
585,9,15,4,12
6005,4,4,2,2
11991,47,124,95,10
12590,1,0,0,0
3894,5,3,0,0
12510,2,5,0,0
5373,36,38,94,77
8285,2,0,0,0
9707,13,12,52,65
10865,1,0,1,0
12691,6,6,1,0
5144,2,2,0,0
2,354,241,0,0
9417,0,1,4,1
12406,8,12,6,6
3806,1,0,1,0
12689,0,0,1,1
12174,18,30,3,2
10029,3,5,3,103
12680,24,27,9,0
3534,2,4,0,0
12338,6,5,3,1
11026,6,9,9,2
11890,0,1,0,0
817,4,3,0,0
12622,7,7,0,0
9528,0,0,13,13
1,310,217,5,0
6172,4,5,15,15
7568,14,15,3,57
11173,11,8,4,0
12693,0,0,6,0
10133,5,4,5,5
8443,519,447,0,0
672,1,0,1,0
7607,1,0,0,0
9911,2,1,0,0
8273,1,0,0,0
10279,3,3,19,38
11748,2,5,1,1
3485,2,0,0,0
5863,1,2,0,0
11337,2,0,0,0
12152,0,0,4,0
9848,1,0,0,0
12440,3,3,0,0
11459,0,0,1,0
9376,3,3,0,0
8060,1,0,0,0
7269,12,14,2,2
12003,2,3,1,0
10019,8,5,6,2
12570,12,17,2,1
12266,2,2,0,0
1456,2,0,14,0
6016,1,0,0,0
11512,1,1,0,0
11365,2,0,2,3
12268,0,1,0,0
2986,2,3,9,9
4922,1,0,0,0
6784,1,0,0,0
5883,1,0,1,0
7237,1,0,0,0
7515,3,3,11,0
8283,1,3,2,0
1552,1,0,0,0
11987,0,1,0,0
12252,1,0,0,0
4802,1,0,0,0
12626,1,1,0,0
11318,8,6,5,3
12565,0,1,0,0
2341,0,0,2,2
10006,5,4,0,0
12175,5,4,4,2
10236,0,0,0,1
12515,1,2,6,0
12060,4,3,0,0
12116,1,1,0,0
11511,68,108,179,114
8555,4,3,0,0
12736,3,3,1,0
11530,50,72,6,5
